title,release_date,release_year,release_month,release_quarter,release_era,genre,creative_type,content_rating,source_type,distributor,distributor_grouped,production_budget,domestic_revenue,worldwide_revenue,return_multiple,profitable,international_share,critic_score,audience_score,critic_audience_gap,audience_volume,log_budget,log_worldwide_revenue,log_audience_volume
Dragonheart,1996-05-31,1996,5,Q2,1990s,Adventure,Fantasy,PG-13,Original Screenplay,Universal,Universal,57000000.0,51364680.0,104364680.0,1.830959298245614,1,0.5078346429079263,50.0,62.0,-12.0,26309.0,17.858561825798823,18.463401861995415,10.177666364950163
The Rock,1996-06-07,1996,6,Q2,1990s,Action,Contemporary Fiction,R,Original Screenplay,Walt Disney Pictures,Walt Disney Pictures,75000000.0,134069511.0,336069511.0,4.480926813333333,1,0.6010661288461838,66.0,72.0,-6.0,108324.0,18.132998671500584,19.63282857450737,11.592882015086156
The Phantom,1996-06-07,1996,6,Q2,1990s,Action,Super Hero,PG,Based on Comic/Graphic Novel,Paramount Pictures,Paramount Pictures,45000000.0,17220599.0,17220599.0,0.3826799777777778,0,0.0,43.0,48.0,-5.0,9477.0,17.622173047734595,16.661616841492435,9.156623089470195
The Cable Guy,1996-06-14,1996,6,Q2,1990s,Comedy,Contemporary Fiction,PG-13,Original Screenplay,Sony Pictures,Sony Pictures,47000000.0,60240295.0,102825796.0,2.187782893617021,1,0.4141519215664521,52.0,58.0,-6.0,51109.0,17.665658159674333,18.448546813358845,10.841715885928185
Lone Star,1996-06-21,1996,6,Q2,1990s,Drama,Contemporary Fiction,R,Original Screenplay,Sony Pictures Classics,Sony Pictures Classics,5000000.0,12961389.0,12961389.0,2.5922778,1,0.0,92.0,76.0,16.0,14599.0,15.424948470398375,16.377485419071398,9.58870831219998
The Hunchback of Notre Dame,1996-06-21,1996,6,Q2,1990s,Adventure,Historical Fiction,G,Based on Book/Short Story,Walt Disney Pictures,Walt Disney Pictures,100000000.0,100138851.0,325500000.0,3.255,1,0.6923537603686636,73.0,65.0,8.0,19479.0,18.420680743952367,19.600873019612898,9.877092241176596
Eraser,1996-06-21,1996,6,Q2,1990s,Action,Contemporary Fiction,R,Original Screenplay,Warner Bros.,Warner Bros.,100000000.0,101295562.0,234400000.0,2.344,1,0.5678516979522185,34.0,59.0,-25.0,37287.0,18.420680743952367,19.27253961566713,10.526400019413622
Silent Trigger,1996-06-26,1996,6,Q2,1990s,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,15000000.0,76382.0,76382.0,0.005092133333333334,0,0.0,,52.0,,1364.0,16.523560759066484,11.243502345301838,7.218176838403408
The Nutty Professor,1996-06-28,1996,6,Q2,1990s,Comedy,Kids Fiction,PG-13,Remake,Universal,Universal,55000000.0,128814019.0,273814019.0,4.978436709090909,1,0.5295565235467363,67.0,56.0,11.0,32234.0,17.822843743196746,19.427959671114877,10.380777075082664
Striptease,1996-06-28,1996,6,Q2,1990s,Comedy,Contemporary Fiction,R,Based on Book/Short Story,Sony Pictures,Sony Pictures,50000000.0,32773011.0,32773011.0,0.65546022,0,0.0,12.0,39.0,-27.0,18012.0,17.72753356339242,17.30511589927368,9.798793481421463
Independence Day,1996-07-02,1996,7,Q3,1990s,Adventure,Science Fiction,PG-13,Original Screenplay,20th Century Fox,20th Century Fox,75000000.0,306169255.0,817400878.0,10.898678373333333,1,0.625435617650511,61.0,65.0,-4.0,149493.0,18.132998671500584,20.52164020323138,11.915004847974185
Phenomenon,1996-07-05,1996,7,Q3,1990s,Drama,Contemporary Fiction,PG,Original Screenplay,Walt Disney Pictures,Walt Disney Pictures,32000000.0,104636382.0,142836382.0,4.4636369375,1,0.26743886582061427,50.0,63.0,-13.0,26823.0,17.281246460764002,18.77721035133025,10.197015007403428
Harriet the Spy,1996-07-10,1996,7,Q3,1990s,Adventure,Kids Fiction,PG,Based on Book/Short Story,Paramount Pictures,Paramount Pictures,13000000.0,26570048.0,26570048.0,2.0438498461538464,1,0.0,45.0,58.0,-13.0,2963.0,16.38045991542581,17.095295124283105,7.993957547573565
Les Visiteurs,1996-07-12,1996,7,Q3,1990s,Comedy,Fantasy,R,Original Screenplay,Miramax,Miramax,7000000.0,659000.0,98754000.0,14.107714285714286,1,0.9933268525831865,,67.0,,7393.0,15.761420707019587,18.40814246725426,8.9082888855571
Courage Under Fire,1996-07-12,1996,7,Q3,1990s,Drama,Historical Fiction,R,Original Screenplay,20th Century Fox,20th Century Fox,46000000.0,59003384.0,100833145.0,2.1920248913043476,1,0.41484137978637875,85.0,66.0,19.0,19682.0,17.64415195445337,18.42897767899672,9.88745979145893
Walking and Talking,1996-07-17,1996,7,Q3,1990s,Romantic Comedy,Contemporary Fiction,R,Original Screenplay,Miramax,Miramax,1000000.0,1287480.0,1615787.0,1.615787,1,0.20318705373913765,86.0,65.0,21.0,1756.0,13.815510557964274,14.295332702445188,7.470793774195062
Multiplicity,1996-07-17,1996,7,Q3,1990s,Comedy,Science Fiction,PG-13,Based on Book/Short Story,Sony Pictures,Sony Pictures,45000000.0,20133326.0,20133326.0,0.44740724444444446,0,0.0,44.0,57.0,-13.0,11935.0,17.622173047734595,16.817887009998458,9.387230538772931
Trainspotting,1996-07-19,1996,7,Q3,1990s,Drama,Contemporary Fiction,R,Based on Book/Short Story,Miramax,Miramax,3100000.0,16501785.0,24000785.0,7.74218870967742,1,0.31244811367628184,89.0,82.0,7.0,150483.0,14.946912669455374,16.993597096110648,11.921605399980335
Fled,1996-07-19,1996,7,Q3,1990s,Action,Contemporary Fiction,R,Original Screenplay,MGM,MGM,30000000.0,17192205.0,19892205.0,0.6630735,0,0.13573155917104213,14.0,49.0,-35.0,4215.0,17.216707939626428,16.805838504414176,8.346404870435956
A Time to Kill,1996-07-24,1996,7,Q3,1990s,Drama,Contemporary Fiction,R,Based on Book/Short Story,Warner Bros.,Warner Bros.,40000000.0,108766007.0,152266007.0,3.806650175,1,0.28568424993242253,68.0,71.0,-3.0,38577.0,17.50439001207821,18.841139595316847,10.560411522938548
The Adventures of Pinocchio,1996-07-26,1996,7,Q3,1990s,Adventure,Fantasy,G,Based on Book/Short Story,New Line,New Line,25000000.0,15382170.0,36682170.0,1.4672868,1,0.5806635757917266,27.0,53.0,-26.0,1734.0,17.034386382832476,17.41780136390798,7.458186157340487
Kingpin,1996-07-26,1996,7,Q3,1990s,Comedy,Contemporary Fiction,R,Original Screenplay,MGM,MGM,25000000.0,25023424.0,32223424.0,1.28893696,1,0.2234399423227029,51.0,67.0,-16.0,28404.0,17.034386382832476,17.2882041994648,10.254285259301984
Stonewall,1996-07-26,1996,7,Q3,1990s,Drama,Dramatization,R,Based on Real Life Events,Strand,Other,2000000.0,304602.0,304602.0,0.152301,0,0.0,,70.0,,741.0,14.508657738524219,12.626761285409824,6.608000625296087
Chain Reaction,1996-08-02,1996,8,Q3,1990s,Action,Contemporary Fiction,PG-13,Original Screenplay,20th Century Fox,20th Century Fox,55000000.0,21226204.0,60209334.0,1.0947151636363637,1,0.6474599104517582,13.0,52.0,-39.0,15817.0,17.822843743196746,17.913337948093954,9.668840589963489
Emma,1996-08-02,1996,8,Q3,1990s,Romantic Comedy,Historical Fiction,PG,Based on Book/Short Story,Miramax,Miramax,5900000.0,22231658.0,37831658.0,6.412145423728814,1,0.4123530615549548,,68.0,,13798.0,15.590462908875947,17.448656823298823,9.532278933106054
Basquiat,1996-08-09,1996,8,Q3,1990s,Drama,Dramatization,R,Based on Real Life Events,Miramax,Miramax,3000000.0,2962051.0,2962051.0,0.9873503333333333,0,0.0,69.0,67.0,2.0,7935.0,14.914122846632385,14.901392491757532,8.97903863296051
Jack,1996-08-09,1996,8,Q3,1990s,Drama,Contemporary Fiction,PG-13,Original Screenplay,Walt Disney Pictures,Walt Disney Pictures,45000000.0,58617334.0,58617334.0,1.3026074222222221,1,0.0,17.0,53.0,-36.0,17267.0,17.622173047734595,17.886541012854224,9.75655244441243
Escape from L.A.,1996-08-09,1996,8,Q3,1990s,Action,Science Fiction,R,Original Screenplay,Paramount Pictures,Paramount Pictures,50000000.0,25426861.0,25426861.0,0.50853722,0,0.0,56.0,53.0,3.0,23262.0,17.72753356339242,17.051316692893774,10.054576406898985
The Fan,1996-08-16,1996,8,Q3,1990s,Thriller/Suspense,Contemporary Fiction,R,Based on Book/Short Story,Sony Pictures,Sony Pictures,55000000.0,18582965.0,18582965.0,0.3378720909090909,0,0.0,40.0,56.0,-16.0,20640.0,17.822843743196746,16.737755858812157,9.9349862195955
Tin Cup,1996-08-16,1996,8,Q3,1990s,Romantic Comedy,Contemporary Fiction,R,Original Screenplay,Warner Bros.,Warner Bros.,45000000.0,53854588.0,75854588.0,1.6856575111111112,1,0.2900286005112835,69.0,61.0,8.0,17274.0,17.622173047734595,18.14432874973438,9.756957759840232
Kansas City,1996-08-16,1996,8,Q3,1990s,Drama,Historical Fiction,R,Original Screenplay,New Line,New Line,19000000.0,1353824.0,1353824.0,0.0712538947368421,0,0.0,58.0,60.0,-2.0,2397.0,16.759949537130716,14.118443738776595,7.781973234434385
She's the One,1996-08-23,1996,8,Q3,1990s,Romantic Comedy,Contemporary Fiction,R,Original Screenplay,Fox Searchlight,Fox Searchlight,3500000.0,9482579.0,13795053.0,3.941443714285714,1,0.3126101798956481,60.0,60.0,0.0,8159.0,15.068273526459642,16.439820607597873,9.0068768914288
The Island of Dr. Moreau,1996-08-23,1996,8,Q3,1990s,Adventure,Science Fiction,PG-13,Based on Book/Short Story,New Line,New Line,40000000.0,27682712.0,27682712.0,0.6920678,0,0.0,23.0,41.0,-18.0,13770.0,17.50439001207821,17.136318660792934,9.5302475917227
Bogus,1996-09-06,1996,9,Q3,1990s,Comedy,Fantasy,PG,Original Screenplay,Warner Bros.,Warner Bros.,32000000.0,4357406.0,4357406.0,0.1361689375,0,0.0,40.0,48.0,-8.0,2742.0,17.281246460764002,15.28738748414134,7.91644286012226
Maximum Risk,1996-09-13,1996,9,Q3,1990s,Action,Contemporary Fiction,R,Original Screenplay,Sony Pictures,Sony Pictures,25000000.0,14102929.0,51702929.0,2.06811716,1,0.7272315268637876,29.0,49.0,-20.0,7064.0,17.034386382832476,17.76102499164565,8.862766742283796
Last Man Standing,1996-09-20,1996,9,Q3,1990s,Action,Historical Fiction,R,Original Screenplay,New Line,New Line,67000000.0,18115927.0,18115927.0,0.2703869701492537,0,0.0,,,,,18.02020317735524,16.712302054063016,
The First Wives Club,1996-09-20,1996,9,Q3,1990s,Comedy,Contemporary Fiction,PG,Based on Book/Short Story,Paramount Pictures,Paramount Pictures,30000000.0,105489203.0,181489203.0,6.0496401,1,0.41875769326068396,41.0,56.0,-15.0,14682.0,17.216707939626428,19.016706722296416,9.594377532670727
When The Cat's Away,1996-09-20,1996,9,Q3,1990s,Comedy,Contemporary Fiction,R,Original Screenplay,Sony Pictures Classics,Sony Pictures Classics,300000.0,1652472.0,2525984.0,8.419946666666666,1,0.3458105831232502,,,,,12.611537753638338,14.742141247747414,
Extreme Measures,1996-09-27,1996,9,Q3,1990s,Drama,Contemporary Fiction,R,Based on Book/Short Story,Sony Pictures,Sony Pictures,38000000.0,17378193.0,17378193.0,0.45732086842105263,0,0.0,55.0,59.0,-4.0,8038.0,17.45309671769066,16.670726702315704,8.991935575009146
Secrets & Lies,1996-09-28,1996,9,Q3,1990s,Drama,Contemporary Fiction,R,Original Screenplay,October Films,Other,4500000.0,13417292.0,13417292.0,2.9816204444444443,1,0.0,94.0,79.0,15.0,14364.0,15.319587954740548,16.41205488077024,9.572480355345974
The Glimmer Man,1996-10-04,1996,10,Q4,1990s,Action,Contemporary Fiction,R,Original Screenplay,Warner Bros.,Warner Bros.,45000000.0,20404841.0,36404841.0,0.8089964666666667,0,0.4395019882108536,13.0,49.0,-36.0,7230.0,17.622173047734595,17.41021231826948,8.88599431515281
Bound,1996-10-04,1996,10,Q4,1990s,Thriller/Suspense,Contemporary Fiction,R,Original Screenplay,Gramercy,Other,4500000.0,3802260.0,6300000.0,1.4,1,0.3964666666666667,88.0,74.0,14.0,23564.0,15.319587954740548,15.65606019136176,10.067475402641579
Crash,1996-10-04,1996,10,Q4,1990s,Drama,Contemporary Fiction,R,Based on Book/Short Story,Fine Line,Other,10000000.0,3357324.0,3357324.0,0.3357324,0,0.0,65.0,61.0,4.0,20886.0,16.11809565095832,15.026654786050232,9.946834357039494
That Thing You Do!,1996-10-04,1996,10,Q4,1990s,Drama,Historical Fiction,PG,Original Screenplay,20th Century Fox,20th Century Fox,2500000.0,25857416.0,31748615.0,12.699446,1,0.18555766920856231,92.0,67.0,25.0,25916.0,14.73180128983843,17.273359660304262,10.162615817569847
The Ghost and the Darkness,1996-10-11,1996,10,Q4,1990s,Action,Dramatization,R,Based on Real Life Events,Paramount Pictures,Paramount Pictures,55000000.0,38564422.0,38564422.0,0.7011713090909091,0,0.0,51.0,66.0,-15.0,19735.0,17.822843743196746,17.467840699554788,9.890148988096948
The Long Kiss Goodnight,1996-10-11,1996,10,Q4,1990s,Action,Contemporary Fiction,R,Original Screenplay,New Line,New Line,65000000.0,33447612.0,33447612.0,0.5145786461538462,0,0.0,69.0,66.0,3.0,28257.0,17.98989782785991,17.325490951855585,10.249096493490926
Michael Collins,1996-10-11,1996,10,Q4,1990s,Drama,Dramatization,R,Based on Real Life Events,Warner Bros.,Warner Bros.,25000000.0,11092559.0,27572844.0,1.10291376,1,0.5976998600507079,77.0,69.0,8.0,11805.0,17.034386382832476,17.132341933283723,9.376278449519614
Get on the Bus,1996-10-16,1996,10,Q4,1990s,Drama,Historical Fiction,R,Based on Real Life Events,Sony Pictures,Sony Pictures,2400000.0,5691854.0,5691854.0,2.371605833333333,1,0.0,87.0,67.0,20.0,2701.0,14.690979295318174,15.554546587827776,7.901377353792616
Swingers,1996-10-18,1996,10,Q4,1990s,Comedy,Contemporary Fiction,R,Original Screenplay,Miramax,Miramax,200000.0,4505922.0,6542637.0,32.713185,1,0.3112987928261953,86.0,62.0,24.0,431.0,12.206072645530174,15.693850853174842,6.066108090103747
Sleepers,1996-10-18,1996,10,Q4,1990s,Drama,Dramatization,R,Based on Book/Short Story,Warner Bros.,Warner Bros.,44000000.0,53300852.0,165600852.0,3.7636557272727273,1,0.6781366076546514,73.0,73.0,0.0,51874.0,17.599700191882537,18.925090944829734,10.85657298023876
Thinner,1996-10-25,1996,10,Q4,1990s,Horror,Fantasy,R,Based on Book/Short Story,Paramount Pictures,Paramount Pictures,14000000.0,15171475.0,15171475.0,1.0836767857142857,1,0.0,18.0,53.0,-35.0,7888.0,16.454567887579532,16.534927577975772,8.973097896282471
Romeo+Juliet,1996-11-01,1996,11,Q4,1990s,Drama,Contemporary Fiction,PG-13,Based on Play,20th Century Fox,20th Century Fox,14500000.0,46338728.0,147542381.0,10.175336620689656,1,0.6859293737438058,,65.0,,78.0,16.489659207390805,18.80962602128669,4.356708826689592
The Funeral,1996-11-01,1996,11,Q4,1990s,Drama,Historical Fiction,R,Original Screenplay,October Films,Other,12500000.0,1212799.0,1412799.0,0.11302392,0,0.14156295410741374,83.0,64.0,19.0,4084.0,16.34123920227253,14.161083401017313,8.314832179284556
Set It Off,1996-11-06,1996,11,Q4,1990s,Drama,Contemporary Fiction,R,Original Screenplay,New Line,New Line,9000000.0,36049108.0,36049108.0,4.0054564444444445,1,0.0,61.0,63.0,-2.0,4570.0,16.012735135300492,17.40039267797718,8.42726848388825
Ransom,1996-11-08,1996,11,Q4,1990s,Action,Contemporary Fiction,R,Original Screenplay,Walt Disney Pictures,Walt Disney Pictures,70000000.0,136492681.0,308700000.0,4.41,1,0.5578468383543894,70.0,66.0,4.0,38524.0,18.064005800013632,19.547880489472387,10.559036702680755
Space Jam,1996-11-15,1996,11,Q4,1990s,Comedy,Kids Fiction,PG,Original Screenplay,Warner Bros.,Warner Bros.,80000000.0,90463534.0,250200000.0,3.1275,1,0.6384351159072742,36.0,56.0,-20.0,29293.0,18.197537192638155,19.337771155997086,10.285103858612302
The English Patient,1996-11-15,1996,11,Q4,1990s,Drama,Historical Fiction,R,Based on Book/Short Story,Miramax,Miramax,35000000.0,78716374.0,231716374.0,6.620467828571429,1,0.6602899801979466,83.0,73.0,10.0,54484.0,17.37085861945369,19.261024655874163,10.905662359567232
The Mirror Has Two Faces,1996-11-15,1996,11,Q4,1990s,Romantic Comedy,Contemporary Fiction,PG-13,Original Screenplay,Sony Pictures,Sony Pictures,42000000.0,41267469.0,41267469.0,0.9825587857142857,0,0.0,54.0,60.0,-6.0,6055.0,17.553180176247643,17.535585072007088,8.708639655987193
Sling Blade,1996-11-20,1996,11,Q4,1990s,Drama,Contemporary Fiction,R,Based on Short Film,Miramax,Miramax,4833610.0,24475416.0,34175000.0,7.070284942310199,1,0.28382103877103143,96.0,80.0,16.0,41785.0,15.391104158463778,17.347004940574287,10.640292702435536
Shine,1996-11-22,1996,11,Q4,1990s,Drama,Dramatization,PG-13,Based on Real Life Events,Fine Line,Other,5500000.0,35811509.0,35811509.0,6.5111834545454546,1,0.0,90.0,76.0,14.0,22439.0,15.520258650202699,17.39377988015409,10.018555795363802
Jingle All the Way,1996-11-22,1996,11,Q4,1990s,Comedy,Kids Fiction,PG,Original Screenplay,20th Century Fox,20th Century Fox,60000000.0,60592389.0,129832389.0,2.16387315,1,0.5333029803526145,16.0,49.0,-33.0,22928.0,17.909855120186375,18.681754861153046,10.040114150067954
Star Trek: First Contact,1996-11-22,1996,11,Q4,1990s,Adventure,Science Fiction,PG-13,Based on TV,Paramount Pictures,Paramount Pictures,46000000.0,92027888.0,150000000.0,3.260869565217391,1,0.38648074666666665,,76.0,,45106.0,17.64415195445337,18.82614585206053,10.716770554336053
Daylight,1996-12-06,1996,12,Q4,1990s,Action,Contemporary Fiction,PG-13,Original Screenplay,Universal,Universal,80000000.0,32908290.0,158908290.0,1.986353625,1,0.7929101747932723,22.0,54.0,-32.0,20052.0,18.197537192638155,18.883837801322915,9.906084178383393
Everyone Says I Love You,1996-12-06,1996,12,Q4,1990s,Musical,Contemporary Fiction,R,Original Screenplay,Miramax,Miramax,20000000.0,9725847.0,34600000.0,1.73,1,0.7189061560693641,80.0,68.0,12.0,16481.0,16.811242831518264,17.359364240027954,9.70996348123418
Mars Attacks!,1996-12-13,1996,12,Q4,1990s,Comedy,Science Fiction,PG-13,Original Screenplay,Warner Bros.,Warner Bros.,80000000.0,37771017.0,101371017.0,1.2671377125,1,0.6273982631544478,50.0,63.0,-13.0,76396.0,18.197537192638155,18.434297779862266,11.243685617763045
Jerry Maguire,1996-12-13,1996,12,Q4,1990s,Romantic Comedy,Contemporary Fiction,R,Original Screenplay,Sony Pictures,Sony Pictures,50000000.0,153952592.0,274000000.0,5.48,1,0.4381292262773723,84.0,72.0,12.0,78603.0,17.72753356339242,19.428638664352345,11.272165145627852
Marvin's Room,1996-12-20,1996,12,Q4,1990s,Drama,Contemporary Fiction,PG-13,Based on Play,Miramax,Miramax,23000000.0,12803305.0,12803305.0,0.5566654347826087,0,0.0,81.0,66.0,15.0,9684.0,16.951004773893423,16.365213898686157,9.178230318057949
Scream,1996-12-20,1996,12,Q4,1990s,Horror,Contemporary Fiction,R,Original Screenplay,Miramax,Miramax,15000000.0,103046663.0,173046663.0,11.5364442,1,0.40451516825840206,81.0,29.0,52.0,217.0,16.523560759066484,18.96907184441561,5.37989735354046
Ghosts of Mississippi,1996-12-20,1996,12,Q4,1990s,Drama,Dramatization,PG-13,Based on Real Life Events,Sony Pictures,Sony Pictures,36000000.0,13052741.0,13052741.0,0.3625761388888889,0,0.0,50.0,64.0,-14.0,5276.0,17.399029496420383,16.384508707992193,8.570923513837204
Beavis and Butt-head Do America,1996-12-20,1996,12,Q4,1990s,Comedy,Contemporary Fiction,PG-13,Based on TV,Paramount Pictures,Paramount Pictures,12000000.0,63118386.0,63118386.0,5.2598655,1,0.0,71.0,66.0,5.0,22918.0,16.300417207752275,17.960522663832762,10.039677906986393
My Fellow Americans,1996-12-20,1996,12,Q4,1990s,Comedy,Contemporary Fiction,PG-13,Original Screenplay,Warner Bros.,Warner Bros.,21500000.0,22331846.0,22331846.0,1.038690511627907,1,0.0,50.0,63.0,-13.0,6366.0,16.883563493097892,16.921524289454524,8.758726607842037
Evita,1996-12-25,1996,12,Q4,1990s,Musical,Dramatization,PG,Based on Musical/Opera,Walt Disney Pictures,Walt Disney Pictures,55000000.0,50047179.0,151947179.0,2.7626759818181816,1,0.6706277844092123,61.0,61.0,0.0,16769.0,17.822843743196746,18.8390435118372,9.72728722274711
Hamlet,1996-12-25,1996,12,Q4,1990s,Drama,Historical Fiction,PG-13,Based on Play,Sony Pictures,Sony Pictures,18000000.0,4501094.0,7129670.0,0.3960927777777778,0,0.36868129941497996,94.0,60.0,34.0,5147.0,16.70588231586044,15.779775508009415,8.546169299652755
Turbulence,1997-01-10,1997,1,Q1,1990s,Thriller/Suspense,Contemporary Fiction,R,Original Screenplay,MGM,MGM,55000000.0,11532774.0,11532774.0,0.2096868,0,0.0,17.0,45.0,-28.0,5147.0,17.822843743196746,16.260703453073994,8.546169299652755
The Relic,1997-01-10,1997,1,Q1,1990s,Horror,Science Fiction,R,Based on Book/Short Story,Paramount Pictures,Paramount Pictures,60000000.0,33956608.0,33956608.0,0.5659434666666666,0,0.0,32.0,54.0,-22.0,10249.0,17.909855120186375,17.34059403220449,9.234935418831563
Albino Alligator,1997-01-17,1997,1,Q1,1990s,Drama,Unknown,R,Original Screenplay,Miramax,Miramax,5000000.0,353480.0,353480.0,0.070696,0,0.0,,59.0,,4377.0,15.424948470398375,12.77558218563194,8.384118837190895
Prefontaine,1997-01-24,1997,1,Q1,1990s,Drama,Dramatization,PG-13,Based on Real Life Events,Walt Disney Pictures,Walt Disney Pictures,8000000.0,590817.0,590817.0,0.073852125,0,0.0,62.0,62.0,0.0,2580.0,15.89495209964411,13.289261603768376,7.855544677915663
Waiting for Guffman,1997-01-31,1997,1,Q1,1990s,Comedy,Contemporary Fiction,R,Original Screenplay,Sony Pictures Classics,Sony Pictures Classics,4000000.0,2922988.0,2922988.0,0.730747,0,0.0,,74.0,,14880.0,15.201804919084164,14.888116938713761,9.607773308387083
Shadow Conspiracy,1997-01-31,1997,1,Q1,1990s,Thriller/Suspense,Contemporary Fiction,R,Original Screenplay,Walt Disney Pictures,Walt Disney Pictures,45000000.0,2154540.0,2154540.0,0.04787866666666667,0,0.0,,47.0,,2427.0,17.622173047734595,14.583087801658214,7.794411205726601
Dante's Peak,1997-02-07,1997,2,Q1,1990s,Drama,Contemporary Fiction,PG-13,Original Screenplay,Universal,Universal,115000000.0,67163857.0,178200000.0,1.5495652173913044,1,0.6230984455667788,28.0,56.0,-28.0,23472.0,18.560442686327523,18.998417073000983,10.063563500382763
Absolute Power,1997-02-14,1997,2,Q1,1990s,Thriller/Suspense,Contemporary Fiction,R,Based on Book/Short Story,Sony Pictures,Sony Pictures,50000000.0,50068310.0,50068310.0,1.0013662,1,0.0,46.0,65.0,-19.0,20154.0,17.72753356339242,17.728898830990335,9.911158058840348
Blood and Wine,1997-02-21,1997,2,Q1,1990s,Thriller/Suspense,Contemporary Fiction,R,Original Screenplay,Fox Searchlight,Fox Searchlight,26000000.0,1083350.0,1083350.0,0.04166730769230769,0,0.0,61.0,61.0,0.0,4761.0,17.073607095985757,13.895568650134853,8.46821300919452
Kama Sutra,1997-02-28,1997,2,Q1,1990s,Drama,Historical Fiction,R,Original Screenplay,Trimark,Other,3000000.0,4109095.0,4109095.0,1.3696983333333332,1,0.0,,,,,14.914122846632385,15.228713367578814,
Donnie Brasco,1997-02-28,1997,2,Q1,1990s,Drama,Dramatization,R,Based on Real Life Events,Sony Pictures,Sony Pictures,35000000.0,41954997.0,55954997.0,1.5987142,1,0.2502010678331374,87.0,77.0,10.0,65462.0,17.37085861945369,17.840058300619752,11.08922510059791
Smilla's Sense of Snow,1997-02-28,1997,2,Q1,1990s,Thriller/Suspense,Contemporary Fiction,R,Based on Book/Short Story,Fox Searchlight,Fox Searchlight,35000000.0,2221994.0,2221994.0,0.06348554285714286,0,0.0,53.0,61.0,-8.0,7280.0,17.37085861945369,14.61391554890804,8.892886141190731
Love Jones,1997-03-14,1997,3,Q1,1990s,Drama,Contemporary Fiction,R,Original Screenplay,New Line,New Line,10000000.0,12554569.0,12554569.0,1.2554569,1,0.0,67.0,67.0,0.0,1165.0,16.11809565095832,16.34559522103196,7.060476365999801
Selena,1997-03-21,1997,3,Q1,1990s,Drama,Dramatization,PG,Based on Real Life Events,Warner Bros.,Warner Bros.,20000000.0,35450113.0,35450113.0,1.77250565,1,0.0,63.0,63.0,0.0,7996.0,16.811242831518264,17.383636998525482,8.98669669562029
Liar Liar,1997-03-21,1997,3,Q1,1990s,Comedy,Contemporary Fiction,PG-13,Original Screenplay,Universal,Universal,45000000.0,181410615.0,302710615.0,6.726902555555555,1,0.40071274011980057,82.0,67.0,15.0,67798.0,17.622173047734595,19.52828784110091,11.124287974968324
Cats Don't Dance,1997-03-26,1997,3,Q1,1990s,Musical,Fantasy,G,Original Screenplay,Warner Bros.,Warner Bros.,32000000.0,3588602.0,3588602.0,0.1121438125,0,0.0,67.0,69.0,-2.0,1663.0,17.281246460764002,15.093273269580951,7.416378479192928
The Devil's Own,1997-03-26,1997,3,Q1,1990s,Thriller/Suspense,Contemporary Fiction,R,Based on Book/Short Story,Sony Pictures,Sony Pictures,90000000.0,42885593.0,140900000.0,1.5655555555555556,1,0.6956309936124911,29.0,58.0,-29.0,21331.0,18.31532022829454,18.76356097686891,9.967916692691817
Love and Other Catastrophes,1997-03-28,1997,3,Q1,1990s,Comedy,Unknown,R,Unknown,Fox Searchlight,Fox Searchlight,250000.0,212285.0,743216.0,2.972864,1,0.7143697121698134,,57.0,,1406.0,12.429216196844383,13.518741994775327,7.2485040723706105
Chasing Amy,1997-04-04,1997,4,Q2,1990s,Romantic Comedy,Contemporary Fiction,R,Original Screenplay,Miramax,Miramax,250000.0,12006514.0,15155095.0,60.62038,1,0.20775725919237062,91.0,75.0,16.0,63591.0,12.429216196844383,16.533847337012624,11.060227229880846
The Saint,1997-04-04,1997,4,Q2,1990s,Action,Contemporary Fiction,PG-13,Based on TV,Paramount Pictures,Paramount Pictures,90000000.0,61363304.0,169400000.0,1.8822222222222222,1,0.6377608972845337,30.0,59.0,-29.0,27413.0,18.31532022829454,18.947773340182227,10.21877263241388
Pink Flamingos,1997-04-11,1997,4,Q2,1990s,Unknown,Unknown,Not Rated,Unknown,Fine Line,Other,12000.0,413802.0,413802.0,34.4835,1,0.0,,58.0,,7947.0,9.392661928770137,12.933142877534678,8.98054977794018
Grosse Point Blank,1997-04-11,1997,4,Q2,1990s,Black Comedy,Contemporary Fiction,R,Original Screenplay,Walt Disney Pictures,Walt Disney Pictures,15000000.0,28084357.0,28084357.0,1.8722904666666667,1,0.0,,74.0,,41523.0,16.523560759066484,17.15072328890289,10.634002769564812
Anaconda,1997-04-11,1997,4,Q2,1990s,Horror,Contemporary Fiction,PG-13,Original Screenplay,Sony Pictures,Sony Pictures,45000000.0,65598907.0,136998907.0,3.0444201555555557,1,0.5211720411754818,38.0,42.0,-4.0,29430.0,17.622173047734595,18.735483505658383,10.289769841227518
8 Heads in a Duffel Bag,1997-04-18,1997,4,Q2,1990s,Black Comedy,Contemporary Fiction,R,Original Screenplay,Orion Pictures,Other,3000000.0,3602884.0,4002884.0,1.3342946666666666,1,0.09992795194664647,11.0,48.0,-37.0,5127.0,14.914122846632385,15.202525659288533,8.5422759717837
McHale's Navy,1997-04-18,1997,4,Q2,1990s,Comedy,Contemporary Fiction,PG,Based on TV,Universal,Universal,42000000.0,4408420.0,4408420.0,0.10496238095238095,0,0.0,3.0,39.0,-36.0,3466.0,17.553180176247643,15.299026906582627,8.150756470275551
